título,organismo,creado,actualizado,sector,idioma,coberturageográfica,frecuenciadeactualización,urldocumentacion,urlnormativa,descargas,visitas,clasificación,url
Suicidios según sexo por año en la ciudad Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T16:09:20.321323,2021-08-12T22:38:28.593290,Estadísticas,Español,Local,Anual,No aplica,No aplica,14,33,2,http://datos.cali.gov.co/dataset/suicidios-segun-sexo-por-ano-2004-2019
Suicidios según rango por sexo y año en la ciudad Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T16:05:45.125206,2021-08-12T22:37:48.606747,Estadísticas,Español,Local,Anual,No aplica,No aplica,11,32,2,http://datos.cali.gov.co/dataset/suicidios-segun-rango-por-sexo-y-ano-2004-2018
Suicidios según jornada por sexo y año en la ciudad Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T15:58:00.182160,2021-08-12T22:37:03.616222,Estadísticas,Español,Local,Anual,No aplica,No aplica,6,18,5,http://datos.cali.gov.co/dataset/suicidios-segun-jornada-por-sexo-y-ano-2004-2018
Suicidios según horario por sexo y año en la ciudad Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T15:51:47.412805,2021-08-12T22:36:30.034659,Estadísticas,Español,Local,Anual,No aplica,No aplica,6,21,4,http://datos.cali.gov.co/dataset/suicidios-segun-horario-por-sexo-y-ano-2004-2018
Suicidios según hora de ocurrencia desde 2004,Secretaría de Seguridad y Justicia,2018-10-31T16:31:41.812610,2021-08-12T22:35:59.397723,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,20,39,3,http://datos.cali.gov.co/dataset/suicidios-segun-hora-de-ocurrencia-2004-2020
Suicidios según edad y género de la víctima en ciudad de Santiago de Cali desde 1994,Secretaría de Seguridad y Justicia,2018-10-31T17:22:58.787915,2021-08-12T22:35:22.048660,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,13,31,4,http://datos.cali.gov.co/dataset/suicidios-segun-edad-y-genero-de-la-victima-en-el-municipio-de-santiago-de-cali-1994-2019
Suicidios según día de ocurrencia desde 1994,Secretaría de Seguridad y Justicia,2018-10-31T16:35:26.601430,2021-08-12T22:34:19.757565,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,17,33,4,http://datos.cali.gov.co/dataset/suicidios-segun-dia-de-ocurrencia-1994-2019
Suicidios según comuna por sexo y año en la ciudad Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T15:39:09.911183,2021-08-12T22:33:46.261438,Estadísticas,Español,Local,Anual,No aplica,No aplica,16,41,2,http://datos.cali.gov.co/dataset/suicidios-segun-comuna-por-sexo-y-ano-2004-2018
Suicidios según arma por sexo y año en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T15:25:14.010310,2021-08-12T22:33:11.670138,Estadísticas,Español,Local,Anual,No aplica,No aplica,10,22,3,http://datos.cali.gov.co/dataset/suicidios-segun-arma-por-sexo-y-ano-2004-2018
Suicidios según Sexo en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T16:45:03.746759,2021-08-12T22:31:48.444432,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,7,17,4,http://datos.cali.gov.co/dataset/suicidios-segun-sexo-en-el-municipio-de-santiago-de-cali-2004-2019
Suicidios según Rangos de Edades en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T16:55:41.018243,2021-08-12T22:31:09.566266,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,8,16,4,http://datos.cali.gov.co/dataset/suicidios-segun-rangos-de-edades-en-el-municipio-de-santiago-de-cali-2004-2019
Suicidios según Mecanismos en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T17:01:41.079524,2021-08-12T22:30:24.796157,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,10,18,5,http://datos.cali.gov.co/dataset/suicidios-segun-mecanismos-en-el-municipio-de-santiago-de-cali-2004-2019
Suicidio según tipo sexo por año y rango de hora en la ciudad de Santiago de Cali desde 2003,Secretaría de Seguridad y Justicia,2019-08-28T03:10:57.798473,2021-08-12T22:29:36.266340,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,16,37,4,http://datos.cali.gov.co/dataset/suicidio-segun-tipo-sexo-por-ano-y-rango-de-hora
Suicidios según Jornada en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T16:51:47.833056,2021-08-12T22:29:05.984306,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,6,16,5,http://datos.cali.gov.co/dataset/suicidios-segun-jornada-en-el-municipio-de-santiago-de-cali-2004-2019
Suicidios en la ciudad de Santiago de Cali según comuna del hecho desde 2004,Secretaría de Seguridad y Justicia,2018-10-31T17:06:57.629129,2021-08-12T22:28:19.310744,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,22,53,4,http://datos.cali.gov.co/dataset/suicidios-en-santiago-de-cali-segun-comuna-del-hecho-2004-2020
Suicidio según tipo sexo por año y rango de edad en la ciudad de Santiago de Cali desde 2003,Secretaría de Seguridad y Justicia,2019-08-28T03:08:21.998270,2021-08-12T22:26:40.393369,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,50,74,1,http://datos.cali.gov.co/dataset/suicidio-segun-tipo-sexo-por-ano-y-rango-de-edad
Suicidio según tipo sexo por año y día de la semana en la ciudad Santiago de Cali desde 2003,Secretaría de Seguridad y Justicia,2019-08-28T03:14:39.625757,2021-08-12T22:25:36.470391,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,15,31,3,http://datos.cali.gov.co/dataset/suicidio-segun-tipo-sexo-por-ano-y-dia-de-la-semana
Suicidio según tipo sexo por año y jornada en la ciudad Santiago de Cali  desde 2003,Secretaría de Seguridad y Justicia,2019-08-28T03:12:42.719021,2021-08-12T22:24:57.393863,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,9,23,3,http://datos.cali.gov.co/dataset/suicidio-segun-tipo-sexo-por-ano-y-jornada
Muertes no intencionales según sexo por año en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-03T17:35:54.336268,2021-08-12T22:23:17.524536,Estadísticas,Español,Local,Anual,No aplica,No aplica,9,16,5,http://datos.cali.gov.co/dataset/muertes-no-intencionales-segun-sexo-por-ano-en-el-municipio-de-santiago-de-cali-2004-2018
Muertes no intencionales según jornada por sexo y año desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T15:08:07.064949,2021-08-12T22:22:42.261625,Estadísticas,Español,Local,Anual,No aplica,No aplica,9,19,5,http://datos.cali.gov.co/dataset/muertes-no-intencionales-segun-jornada-por-sexo-y-ano-2004-2019
Muertes no intencionales según horario por sexo por año desde 2004,Secretaría de Seguridad y Justicia,2019-10-03T21:28:11.397587,2021-08-12T22:22:17.704651,Estadísticas,Español,Local,Anual,No aplica,No aplica,8,20,3,http://datos.cali.gov.co/dataset/muertes-no-intencionales-segun-horario-por-sexo-por-ano-2004-2019
Muertes no intencionales según edad por sexo por año en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-03T18:43:11.121165,2021-08-12T22:21:54.256216,Estadísticas,Español,Local,Anual,No aplica,No aplica,9,17,4,http://datos.cali.gov.co/dataset/muertes-no-intencionales-segun-edad-por-sexo-por-ano-en-el-municipio-de-santiago-de-cali-2004-2018
Muertes accidentales según hora de ocurrencia desde 1994,Secretaría de Seguridad y Justicia,2018-10-31T16:39:25.765769,2021-08-12T22:21:10.194156,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,75,127,4,http://datos.cali.gov.co/dataset/muertes-accidentales-segun-hora-de-ocurrencia-1994-2019
Muertes accidentales según edad y género de la víctima en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2018-10-31T17:20:28.281078,2021-08-12T22:20:39.257427,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,17,34,4,http://datos.cali.gov.co/dataset/muertes-accidentales-segun-edad-y-genero-de-la-victima-en-el-municipio-de-santiago-de-cali-2004-2019
Muertes accidentales según día de ocurrencia desde 1994,Secretaría de Seguridad y Justicia,2018-10-31T16:49:05.389127,2021-08-12T22:19:23.619801,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,18,37,1,http://datos.cali.gov.co/dataset/muertes-accidentales-segun-dia-de-ocurrencia-1994-2019
Muertes accidentales en la ciudad Santiago de Cali según comuna del hecho desde 2004,Secretaría de Seguridad y Justicia,2018-10-31T17:03:54.310571,2021-08-12T22:18:38.996194,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,16,46,5,http://datos.cali.gov.co/dataset/muertes-accidentales-en-santiago-de-cali-segun-comuna-del-hecho-2004-2019
Muertes Accidentales según sexo en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T19:27:43.764305,2021-08-12T22:17:28.869319,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,10,16,2,http://datos.cali.gov.co/dataset/muertes-accidentales-segun-sexo-en-el-municipio-de-santiago-de-cali-2004-2019
Muertes Accidentales según Mecanismos en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T17:09:38.932975,2021-08-12T22:08:26.055289,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,10,17,5,http://datos.cali.gov.co/dataset/muertes-accidentales-segun-mecanismos-en-el-municipio-de-santiago-de-cali-2004-2019
Muertes accidentales según Jornada en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T19:24:43.465145,2021-08-12T21:59:31.794572,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,4,13,5,http://datos.cali.gov.co/dataset/muertes-accidentales-segun-jornada-en-el-municipio-de-santiago-de-cali-2004-2017
Homicidios en accidentes de tránsito según hora de ocurrencia desde 2004,Secretaría de Seguridad y Justicia,2018-10-31T16:52:18.887040,2021-08-12T21:54:55.446378,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,19,44,5,http://datos.cali.gov.co/dataset/homicidios-en-accidentes-de-transito-segun-hora-de-ocurrencia-2004-2019
Homicidios en accidentes de tránsito según edad y género de la víctima en la ciudad de Santiago de Cali desde 1993,Secretaría de Seguridad y Justicia,2018-10-31T17:16:14.739250,2021-08-12T21:53:44.308411,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,18,46,4,http://datos.cali.gov.co/dataset/homicidios-accidentes-transito-segun-edad-y-genero-victima-municipio-santiago-cali-1993-2017
Homicidios en accidentes de tránsito según día de ocurrencia desde 2004,Secretaría de Seguridad y Justicia,2018-10-31T16:54:17.393616,2021-08-12T21:52:16.016143,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,14,39,2,http://datos.cali.gov.co/dataset/homicidios-en-accidentes-de-transito-segun-dia-de-ocurrencia-2004-2019
Homicidios en accidentes de transito en la ciudad de Santiago de Cali según comuna del hecho desde 2004,Secretaría de Seguridad y Justicia,2018-10-31T17:09:19.953884,2021-08-12T21:50:20.854218,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,20,41,3,http://datos.cali.gov.co/dataset/homicidios-accidentes-transito-municipio-santiago-comuna-del-hecho-2004-2019
Homicidios en accidentes de transito según sexo en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T19:52:49.734030,2021-08-12T21:48:43.967758,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,6,16,2,http://datos.cali.gov.co/dataset/homicidios-en-accidentes-de-transito-segun-sexo-en-el-municipio-de-santiago-de-cali-2004-2017
Homicidios en accidentes de transito según condición de victima en la ciudad Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T20:00:58.928344,2021-08-12T21:46:21.995105,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,11,17,3,http://datos.cali.gov.co/dataset/homicidios-en-accidentes-de-transito-segun-condicion-de-victima-santiago-de-cali-2004-2019
Homicidios en accidentes de transito según mecanismos en la ciudad de Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T19:38:54.908216,2021-08-12T21:45:19.808190,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Local,Anual,No aplica,No aplica,8,14,2,http://datos.cali.gov.co/dataset/homicidios-en-accidentes-de-transito-segun-mecanismos-en-el-municipio-de-santiago-de-cali-2004-2019
Homicidios en Accidente de Transito según jornada en Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T20:04:11.384935,2021-08-12T21:43:40.638505,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,11,22,3,http://datos.cali.gov.co/dataset/homicidios-en-accidente-de-transito-segun-jornada-en-santiago-de-cali-2004-2019
Homicidios comunes en la ciudad de Santiago de Cali según comuna del hecho desde 1993,Secretaría de Seguridad y Justicia,2018-10-31T17:11:17.186387,2021-08-12T21:41:28.229333,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,88,127,2,http://datos.cali.gov.co/dataset/homicidios-comunes-en-el-municipio-de-santiago-de-cali-segun-comuna-del-hecho-2001-2017
Homicidios comunes según hora de ocurrencia desde 1993,Secretaría de Seguridad y Justicia,2018-10-31T16:57:27.513253,2021-08-12T21:40:02.770484,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,26,43,2,http://datos.cali.gov.co/dataset/homicidios-comunes-segun-hora-de-ocurrencia-1993-2019
Homicidios comunes segun tipo de violencia en la ciudad de Santiago de Cali desde 1993,Secretaría de Seguridad y Justicia,2019-09-09T20:09:07.623414,2021-08-12T21:38:30.669445,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,28,50,4,http://datos.cali.gov.co/dataset/homicidios-comunes-segun-tipo-de-violencia-en-el-municipio-de-santiago-de-cali-1993-2017
Homicidios comunes según día de ocurrencia desde 1993,Secretaría de Seguridad y Justicia,2018-10-31T17:00:52.259838,2021-08-12T21:37:32.217809,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,23,44,3,http://datos.cali.gov.co/dataset/homicidios-comunes-segun-dia-de-ocurrencia-1993-2019
Homicidios comunes segun sexo de la victima en la ciudad de Santiago de Cali desde 1993,Secretaría de Seguridad y Justicia,2019-09-09T20:18:27.326308,2021-08-12T21:34:47.737860,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,12,23,5,http://datos.cali.gov.co/dataset/homicidios-comunes-segun-sexo-de-la-victima-en-el-municipio-de-santiago-de-cali-1993-2019
Homicidio según tipo sexo por año y horario en Santiago de Cali desde 1993,Secretaría de Seguridad y Justicia,2019-08-28T13:20:11.950083,2021-08-12T21:22:58.216758,Estadísticas,Español,Local,Anual,No aplica,No aplica,49,76,1,http://datos.cali.gov.co/dataset/homicidio-segun-tipo-sexo-por-ano-y-horario
Homicidio según tipo sexo por año y arma usada en Santiago de Cali desde 1993,Secretaría de Seguridad y Justicia,2019-08-28T13:37:06.196196,2021-08-12T20:51:34.333898,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,28,55,1,http://datos.cali.gov.co/dataset/homicidio-segun-tipo-sexo-por-ano-y-arma-usada
Homicidios Accidentes de Transito según Rango de Edades en Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-09-09T19:47:57.967836,2021-08-12T20:24:49.324486,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,10,20,1,http://datos.cali.gov.co/dataset/homicidios-accidentes-de-transito-segun-rango-de-edades-en-santiago-de-cali-2004-2019
Homicidios comunes segun rangos de edad en el Municipio de Santiago de Cali desde 1993,Secretaría de Seguridad y Justicia,2019-09-09T20:21:19.969259,2021-08-12T20:18:10.830420,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,19,45,2,http://datos.cali.gov.co/dataset/homicidios-comunes-segun-rangos-de-edad-en-el-municipio-de-santiago-de-cali-1993-2017
Homicidios comunes segun mecanismo en el Municipio de Santiago de Cali desde 1993,Secretaría de Seguridad y Justicia,2019-09-09T20:06:41.416381,2021-08-12T20:17:51.179165,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,13,30,5,http://datos.cali.gov.co/dataset/homicidios-comunes-segun-mecanismo-en-el-municipio-de-santiago-de-cali-1993-2019
Homicidios comunes segun jornada en Santiago de cali desde 1993,Secretaría de Seguridad y Justicia,2019-09-09T20:15:23.163396,2021-08-12T20:17:34.439408,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,16,28,5,http://datos.cali.gov.co/dataset/homicidios-comunes-segun-jornada-en-santiago-de-cali-1993-2019
Homicidio según tipo sexo por año y jornada en Santiago de Cali desde 1993,Secretaría de Seguridad y Justicia,2019-08-28T18:14:41.757247,2021-08-12T20:07:30.650222,Estadísticas,Español,Local,Anual,No aplica,No aplica,28,55,5,http://datos.cali.gov.co/dataset/homicidio-segun-tipo-sexo-por-ano-y-jornada
Accidentes vehículo contraparte según suceso por sexo y año desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T20:35:43.327567,2021-08-12T20:04:20.128844,Estadísticas,Español,Local,Anual,No aplica,No aplica,11,22,4,http://datos.cali.gov.co/dataset/accidentes-vehiculo-contraparte-segun-suceso-por-sexo-y-ano-2004-2019
Accidentes según suceso por sexo y año en Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T20:14:20.027465,2021-08-12T20:03:07.622966,Estadísticas,Español,Local,Anual,No aplica,No aplica,8,25,4,http://datos.cali.gov.co/dataset/accidentes-segun-suceso-por-sexo-y-ano-2004-2018
Accidentes según rango de edad y sexo por año en Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T19:42:35.087800,2021-08-12T20:01:26.424663,Estadísticas,Español,Local,Anual,No aplica,No aplica,8,16,4,http://datos.cali.gov.co/dataset/accidentes-segun-rango-por-sexo-anual-2004
Accidentes según horario por sexo y año en Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T19:49:42.186156,2021-08-12T20:00:05.525588,Estadísticas,Español,Local,Anual,No aplica,No aplica,7,15,1,http://datos.cali.gov.co/dataset/accidentes-segun-horario-por-sexo-y-ano-2004-2018
Base de Datos Riesgos Alcaldía de Cali,Departamento Administrativo de Desarrollo e Innovación Institucional,2021-08-11T16:11:12.145521,2021-08-11T20:44:50.348284,Gestión Pública/Administrativa,Español,Municipal/Distrital,Semestral,No aplica,No aplica,6,31,5,http://datos.cali.gov.co/dataset/base-de-datos-riesgos-alcaldia-de-cali
Base de Datos Indicadores Alcaldia de Cali,Departamento Administrativo de Desarrollo e Innovación Institucional,2021-08-11T16:55:34.974208,2021-08-11T16:57:09.436646,Gestión Pública/Administrativa,Español,Municipal/Distrital,Semestral,No aplica,No aplica,6,29,5,http://datos.cali.gov.co/dataset/base-de-datos-indicadores-alcaldia-de-cali
Población impactada en intervenciones de Reconciliación en el municipio de Santiago de Cali,Secretaría de Paz y Cultura ciudadana,2019-03-29T21:07:49.862158,2021-08-10T16:25:55.390324,Inclusión Social y Reconciliación,Español,Municipal/Distrital,Semestral,No aplica,No aplica,68,172,5,http://datos.cali.gov.co/dataset/poblacion-impactada-en-intervenciones-de-reconciliacion
Puntos críticos de arrojo clandestino de residuos en la ciudad de Santiago de Cali,Unidad Administrativa Especial de Servicios Públicos Municipales,2020-11-30T23:31:27.662237,2021-08-09T22:58:34.577474,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,Anual,No aplica,No aplica,28,27,3.5,http://datos.cali.gov.co/dataset/arrojo-clandestino-cali
Situación de diagnóstico de abasto de agua en corregimientos de Cali a Julio 2018,Unidad Administrativa Especial de Servicios Públicos Municipales,2019-03-31T17:46:56.072675,2021-08-09T22:43:08.657971,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,Anual,No aplica,No aplica,13,54,3,http://datos.cali.gov.co/dataset/situacion-diagnostica-de-abasto-de-agua-en-corregimientos-de-cali-2018-julio
Subsidio en el componente de acueducto y alcantarillado en Cali,Unidad Administrativa Especial de Servicios Públicos Municipales,2020-12-01T01:02:55.792138,2021-08-09T22:31:00.973623,Presupuestos Gubernamentales,Español,Municipal/Distrital,Anual,No aplica,No aplica,6,21,3.5,http://datos.cali.gov.co/dataset/subsidio-en-el-componente-de-acueducto-y-alcantarillado-2017-al-2020-cali
Proyectos de alumbrado público ejecutados en Cali,Unidad Administrativa Especial de Servicios Públicos Municipales,2019-03-29T21:09:09.489013,2021-08-09T22:20:34.091461,Vivienda y Hábitat,Español,Municipal/Distrital,Anual,No aplica,No aplica,56,80,3,http://datos.cali.gov.co/dataset/proyectos-de-alumbrado-publico-ejecutado-en-cali
Registro de antenas de telefonía celular en Cali,Unidad Administrativa Especial de Servicios Públicos Municipales,2019-03-31T18:12:08.629313,2021-08-09T21:39:30.541270,Ciencia Tecnología e Innovación,Español,Municipal/Distrital,Anual,No aplica,No aplica,115,201,4.5,http://datos.cali.gov.co/dataset/antenas-de-telefonia-celular-en-cali-actualizado-a-octubre-2018
Inventario de lavado de áreas públicas en Cali,Unidad Administrativa Especial de Servicios Públicos Municipales,2020-12-30T19:33:49.029767,2021-08-09T21:31:07.112665,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,Anual,No aplica,No aplica,13,18,5,http://datos.cali.gov.co/dataset/cali-zona-hidrolavado
Inspecciones rurales de policía en la ciudad de Santiago de Cali,Secretaría de Seguridad y Justicia,2018-10-31T17:25:34.713745,2021-08-09T21:13:43.385906,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,13,42,4,http://datos.cali.gov.co/dataset/inspecciones-rurales
Comisarias de familia en la ciudad de Santiago de Cali,Secretaría de Seguridad y Justicia,2018-10-31T17:30:27.819395,2021-08-09T20:56:30.590010,Seguridad y Justicia/ Paz /Cultura Ciudadana,Español,Local,Anual,No aplica,No aplica,52,160,5,http://datos.cali.gov.co/dataset/comisarias-ciudad
Ingreso diario de Residuos de Construcción y Demolición - RCD en la EDT de la carrera 50 de Cali en 2017,Unidad Administrativa Especial de Servicios Públicos Municipales,2019-03-31T18:03:04.772057,2021-08-09T20:39:59.280080,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,No aplica,No aplica,No aplica,41,87,3,http://datos.cali.gov.co/dataset/ingreso-diario-de-residuos-de-construccion-y-demolicion
Información de las Organizaciones de Recicladores de Oficio - ORO en Cali.,Unidad Administrativa Especial de Servicios Públicos Municipales,2019-03-31T17:35:15.679792,2021-08-09T20:28:49.340604,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,Anual,No aplica,No aplica,55,88,3,http://datos.cali.gov.co/dataset/recicladores-de-oficio-en-la-ciudad-de-cali
Accidentes vehículo victima según suceso por sexo y año desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T20:29:21.561419,2021-08-09T20:26:58.891942,Estadísticas,Español,Local,Anual,No aplica,No aplica,5,14,2,http://datos.cali.gov.co/dataset/accidentes-vehiculo-victima-segun-suceso-por-sexo-y-anual-2004
Casas de justicia en la ciudad de Santiago de Cali,Secretaría de Seguridad y Justicia,2018-10-31T17:37:22.083567,2021-08-09T20:24:28.148095,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,16,47,2,http://datos.cali.gov.co/dataset/casas-de-justicia-ciudad_cali
Relación de actividades de Información Educación y Comunicación - IEC en Cali,Unidad Administrativa Especial de Servicios Públicos Municipales,2020-12-01T00:16:32.943426,2021-08-09T20:16:41.959937,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,Anual,No aplica,No aplica,5,21,5,http://datos.cali.gov.co/dataset/relacion-de-actividades-de-iec-informacion-educacion-y-comunicacion-cali
Asociaciones de agua en la zona rural de Cali,Unidad Administrativa Especial de Servicios Públicos Municipales,2019-03-31T18:27:08.733846,2021-08-09T20:14:33.427132,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,Anual,No aplica,No aplica,32,67,3,http://datos.cali.gov.co/dataset/datos-de-asociaciones-de-agua-en-la-zona-rural-en-cali
Indice de Riesgo de Calidad de Agua para Consumo Humano - IRCA en Santiago de Cali,Secretaría de Salud Pública,2021-07-30T23:47:13.115745,2021-07-30T23:59:30.083303,Salud y Protección Social,Español,Local,Anual,No aplica,No aplica,41,67,4.5,http://datos.cali.gov.co/dataset/indice-de-riesgo-de-calidad-de-agua-para-consumo-humano-irca-en-santiago-de-cali
Casos de intentos de suicidio en Santiago de Cali,Secretaría de Salud Pública,2021-07-30T23:06:15.428153,2021-07-30T23:43:42.810026,Salud y Protección Social,Español,Local,Anual,No aplica,No aplica,11,19,5,http://datos.cali.gov.co/dataset/casos-de-intentos-de-suicidio-en-santiago-de-cali
Ejecución Presupuestal de Gastos de Regalías de la Alcaldía de Santiago de Cali,Departamento Administrativo de Hacienda Municipal,2019-05-01T01:37:54.494104,2021-07-30T19:15:01.179999,Hacienda y Crédito Público,Español,Municipal/Distrital,No aplica,No aplica,No aplica,51,82,3,http://datos.cali.gov.co/dataset/ejecucion-presupuestal-de-gastos-de-regalias-de-la-alcaldia-de-santiago-de-cali
Accidentes según comuna por sexo y año en Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T19:55:50.867594,2021-07-29T22:30:37.962539,Estadísticas,Español,Local,Anual,No aplica,No aplica,18,37,5,http://datos.cali.gov.co/dataset/accidentes-por-comuna-y-sexo-anual
Accidentes según sexo discrimino por año en Santiago de Cali desde 2004,Secretaría de Seguridad y Justicia,2019-10-07T19:31:36.518375,2021-07-29T22:24:49.955758,Estadísticas,Español,Local,Anual,No aplica,No aplica,16,32,3,http://datos.cali.gov.co/dataset/accidentes-segun-sexo-anual-2004
Ejecución presupuestal de ingresos de la Alcaldía de Santiago de Cali,Departamento Administrativo de Hacienda Municipal,2020-08-26T21:42:26.499406,2021-07-29T19:44:58.451714,Hacienda y Crédito Público,Español,Local,No aplica,No aplica,No aplica,58,76,1,http://datos.cali.gov.co/dataset/ejecucion-presupuestal-de-ingresos-de-la-alcaldia-de-santiago-de-cali
Ejecución Presupuestal de Gastos de Funcionamiento de la Alcaldía de Santiago de Cali,Departamento Administrativo de Hacienda Municipal,2020-08-26T20:15:31.729282,2021-07-29T16:32:37.490538,Hacienda y Crédito Público,Español,Local,No aplica,No aplica,No aplica,75,75,5,http://datos.cali.gov.co/dataset/ejecucion-presupuestal-de-gastos-de-funcionamiento-de-la-alcaldia-de-santiago-de-cali
